Date,Month,Year,Quarter,Service,Sanctuary Attendance,Volunteer Classroom Attendance,Nursery Attendance,K-3 Attendance,4-6 Attendance,Youth Attendance,In-Person Total,"Adjusted Total Attendence 
(to remove duplicates)",Online Attendance,Total K-6th Grade Attendence,Total Adults,Notes
11/9/25,November,2025,Q4,9:15,35,,,,,,35,35,20,0,35,
11/9/25,November,2025,Q4,11:00,39,5,1,2,4,7,58,48,10,6,44,
11/16/25,November,2025,Q4,9:15,67,,,,,,67,67,17,0,67,Reforcus & Revisioning Service / No kids classes
11/16/25,November,2025,Q4,11:00,70,,,,,,70,70,8,0,70,Normal service / No kids classes
11/23/25,November,2025,Q4,9:15,20,,,,,,20,20,11,0,20,
11/23/25,November,2025,Q4,11:00,42,5,0,2,10,6,65,56,13,12,47,
11/30/25,November,2025,Q4,9:15,0,,,,,,0,0,,0,0,Family Worship Day only 1 service
11/30/25,November,2025,Q4,11:00,54,,,,,,54,54,7,0,54,Family Worship Day only 1 service
12/7/25,December,2025,Q4,9:15,41,,,,,,41,41,4,0,41,
12/7/25,December,2025,Q4,11:00,25,4,0,2,4,7,42,33,15,6,29,
12/14/25,December,2025,Q4,9:15,33,,,,,,33,33,18,0,33,Windy and snowy
12/14/25,December,2025,Q4,11:00,29,3,0,3,5,6,46,39,5,8,32,Windy and snowy
12/21/25,December,2025,Q4,9:15,35,,,,,,35,35,11,0,35,
12/21/25,December,2025,Q4,11:00,29,3,1,3,5,4,45,39,4,8,32,
12/28/25,December,2025,Q4,9:15,26,,,,,,26,26,15,0,26,
12/28/25,December,2025,Q4,11:00,27,4,0,1,6,7,45,36,7,7,31,
1/4/26,January,2026,Q1,9:15,43,,,,,,43,43,11,0,43,
1/4/26,January,2026,Q1,11:00,33,4,2,4,10,8,61,51,3,14,37,
1/11/26,January,2026,Q1,9:15,38,,,,,,38,38,3,0,38,
1/11/26,January,2026,Q1,11:00,43,3,0,1,8,6,61,54,9,9,46,
1/18/26,January,2026,Q1,9:15,38,,,,,,38,38,7,0,38,
1/18/26,January,2026,Q1,11:00,45,5,1,2,9,8,70,60,7,11,50,
1/25/26,January,2026,Q1,9:15,0,,,,,,0,0,0,0,0,Ice & snow cancelled service
1/25/26,January,2026,Q1,11:00,0,0,0,0,0,0,0,0,0,0,0,Ice & snow cancelled service
2/1/26,February,2026,Q1,9:15,0,,,,,,0,0,0,0,0,Church cancelled due to snow and ice
2/2/26,February,2026,Q1,11:00,0,0,0,0,0,0,0,0,0,0,0,Church cancelled due to snow and ice
2/8/26,February,2026,Q1,9:15,42,,,,,,42,42,25,0,42,
2/8/26,February,2026,Q1,11:00,31,6,4,2,6,8,57,46,10,8,37,
2/15/26,February,2026,Q1,9:15,32,,,,,,32,32,8,0,32,
2/15/26,February,2026,Q1,11:00,41,5,2,2,8,4,62,55,11,10,46,
2/22/26,February,2026,Q1,9:15,42,,,,,,42,42,9,0,42,Winter storm warning
2/22/26,February,2026,Q1,0:00,35,4,0,2,8,8,57,47,3,10,39,Winter storm warning
