Date,Month,Year,Quarter,Service,Sanctuary Attendance,Volunteer Classroom Attendance,Nursery Attendance,K-3 Attendance,4-6 Attendance,Youth Attendance,In-Person Total,"Adjusted Total Attendence 
(to remove duplicates)",Online Attendance,Total K-6th Grade Attendence,Total Adults,Notes
10/22/23,October,2023,Q4,9:15 AM,47,1,4,0,0,0,52,51,13,0,48,
10/22/23,October,2023,Q4,11:00 AM,47,5,6,8,9,5,80,72,0,17,52,
10/29/23,October,2023,Q4,9:15 AM,49,1,2,0,0,0,52,51,8,0,50,
10/29/23,October,2023,Q4,11:00 AM,36,5,4,9,14,9,77,66,0,23,41,
11/5/23,November,2023,Q4,9:15 AM,57,0,0,0,0,0,57,57,5,0,57,
11/5/23,November,2023,Q4,11:00 AM,37,4,0,9,14,9,73,63,0,23,41,no nursary volunteers due to vacation/sickness
11/12/23,November,2023,Q4,9:15 AM,53,1,3,0,0,0,57,56,11,0,54,
11/12/23,November,2023,Q4,11:00 AM,27,7,5,9,11,7,66,55,0,20,34,
11/19/23,November,2023,Q4,9:15 AM,49,2,3,0,0,0,54,52,14,0,51,
11/19/23,November,2023,Q4,11:00 AM,38,5,5,9,11,8,76,66,0,20,43,
11/26/23,November,2023,Q4,9:15 AM,37,1,3,0,0,0,41,40,11,0,38,
11/26/23,November,2023,Q4,11:00 AM,29,5,3,9,8,5,59,51,0,17,34,sanctuary attendance is an estimate
12/3/23,December,2023,Q4,9:15 AM,44,1,4,0,0,0,49,48,5,0,45,
12/3/23,December,2023,Q4,11:00 AM,43,5,4,9,10,8,79,69,0,19,48,
12/10/23,December,2023,Q4,9:15 AM,58,1,3,0,0,0,62,61,10,0,59,
12/10/23,December,2023,Q4,11:00 AM,30,6,1,7,10,4,58,50,0,17,36,
12/17/23,December,2023,Q4,9:15 AM,43,7,3,0,0,0,53,47,0,0,50,
12/17/23,December,2023,Q4,11:00 AM,29,1,5,9,9,4,57,53,0,18,30,
12/24/23,December,2023,Q4,9:15 AM,53,0,0,0,0,0,53,53,0,0,53,
12/24/23,December,2023,Q4,11:00 AM,40,3,0,0,0,0,43,41,6,0,43,
12/31/23,December,2023,Q4,9:15 AM,43,0,0,0,0,0,43,43,6,0,43,
12/31/23,December,2023,Q4,11:00 AM,41,5,2,8,11,3,70,64,0,19,46,
1/7/24,January,2024,Q1,9:15 AM,43,1,1,0,0,0,45,44,0,0,44,
1/7/24,January,2024,Q1,11:00 AM,34,6,4,6,8,1,59,53,14,14,40,
1/14/24,January,2024,Q1,9:15 AM,47,1,1,0,0,0,49,48,12,0,48,
1/14/24,January,2024,Q1,11:00 AM,39,2,3,9,9,4,66,61,0,18,41,
1/21/24,January,2024,Q1,9:15 AM,0,0,0,0,0,0,0,0,0,0,0,service canceled due to incliment weather
1/21/24,January,2024,Q1,11:00 AM,87,0,0,0,0,0,87,87,16,0,87,no children's ministry due to incliment weather
1/28/24,January,2024,Q1,9:15 AM,43,1,3,0,0,0,47,46,6,0,44,
1/28/24,January,2024,Q1,11:00 AM,49,5,4,9,12,8,87,77,0,21,54,
2/4/24,February,2024,Q1,9:15 AM,51,1,5,0,0,0,57,56,3,0,52,
2/4/24,February,2024,Q1,11:00 AM,38,5,5,10,12,6,76,67,0,22,43,
2/11/24,February,2024,Q1,9:15 AM,57,0,0,0,0,0,57,57,5,0,57,
2/11/24,February,2024,Q1,11:00 AM,21,3,4,7,10,6,51,44,0,17,24,
2/18/24,February,2024,Q1,9:15 AM,50,0,0,0,0,0,50,50,6,0,50,
2/18/24,February,2024,Q1,11:00 AM,25,5,3,6,11,7,57,47,0,17,30,
2/25/24,February,2024,Q1,9:15 AM,57,0,0,0,0,0,57,57,6,0,57,
2/25/24,February,2024,Q1,11:00 AM,40,2,6,9,9,7,73,66,0,18,42,
3/3/24,March,2024,Q1,9:15 AM,57,1,1,0,0,0,59,58,8,0,58,
3/3/24,March,2024,Q1,11:00 AM,37,4,6,9,10,7,73,64,0,19,41,
3/10/24,March,2024,Q1,9:15 AM,73,,,0,0,0,73,73,10,0,73,
3/10/24,March,2024,Q1,11:00 AM,30,5,6,7,7,7,62,52,0,14,35,
3/17/24,March,2024,Q1,9:15 AM,62,,,,,,62,62,5,0,62,
3/17/24,March,2024,Q1,11:00 AM,41,2,4,7,11,7,72,65,0,18,43,
3/24/24,March,2024,Q1,9:15 AM,39,,,,,,39,39,10,0,39,
3/24/24,March,2024,Q1,11:00 AM,48,5,5,8,11,7,84,74,0,19,53,
3/31/24,March,2024,Q1,9:15 AM,56,1,4,0,0,0,61,60,14,0,57,Resurrection Sunday
3/31/24,March,2024,Q1,11:00 AM,51,3,5,5,5,6,75,68,0,10,54,Resurrection Sunday
4/8/24,April,2024,Q2,9:15 AM,57,2,1,0,0,0,60,58,4,0,59,
4/8/24,April,2024,Q2,11:00 AM,36,5,4,5,7,3,60,54,0,12,41,
4/14/24,April,2024,Q2,9:15 AM,53,,,,,,53,53,4,18,53,
4/14/24,April,2024,Q2,11:00 AM,37,,,,,,37,37,0,0,37,
4/21/24,April,2024,Q2,9:15 AM,47,,,0,0,0,47,47,7,0,47,
4/21/24,April,2024,Q2,11:00 AM,33,4,5,6,5,6,59,51,0,11,37,
4/28/24,April,2024,Q2,9:15 AM,52,,,,,,52,52,8,0,52,
4/28/24,April,2024,Q2,11:00 AM,23,3,1,8,7,3,45,40,0,15,26,
5/5/24,May,2024,Q2,9:15 AM,57,1,2,,,,60,59,5,0,58,
5/5/24,May,2024,Q2,11:00 AM,38,4,6,13,12,8,81,71,0,25,42,
5/12/24,May,2024,Q2,9:15 AM,56,1,2,0,0,0,59,58,7,0,57,
5/12/24,May,2024,Q2,11:00 AM,34,1,3,9,8,1,56,54,,17,35,
5/19/24,May,2024,Q2,9:15 AM,55,1,2,0,0,0,58,57,4,0,56,1st service is an estimate
5/19/24,May,2024,Q2,11:00 AM,35,5,6,13,12,8,79,69,0,25,40,
5/26/24,May,2024,Q2,9:15 AM,51,0,0,0,0,0,51,51,4,0,51,
5/26/24,May,2024,Q2,11:00 AM,19,2,0,9,0,0,30,28,0,9,21,
6/2/24,June,2024,Q2,9:15 AM,49,0,0,0,0,0,49,49,8,0,49,
6/2/24,June,2024,Q2,11:00 AM,39,3,2,12,10,2,68,64,0,22,42,
6/9/24,June,2024,Q2,9:15 AM,49,0,0,0,0,0,49,49,8,0,49,
6/9/24,June,2024,Q2,11:00 AM,31,4,3,10,9,3,60,54,0,19,35,
6/16/24,June,2024,Q2,9:15 AM,58,1,1,0,0,0,60,59,11,0,59,
6/16/24,June,2024,Q2,11:00 AM,35,7,4,8,8,7,69,58,0,16,42,
6/23/24,June,2024,Q2,9:15 AM,55,0,,0,0,0,55,55,8,0,55,Estimated
6/23/24,June,2024,Q2,11:00 AM,35,3,1,8,7,3,57,52,0,15,38,Estimated
6/30/24,June,2024,Q2,9:15 AM,55,0,0,0,0,0,55,55,16,0,55,Guest Speaker Josh Hayes
6/30/24,June,2024,Q2,11:00 AM,38,3,1,4,4,2,52,48,0,8,41,Guest Speaker Josh Hayes
7/7/24,July,2024,Q3,9:15 AM,48,0,0,0,0,0,48,48,6,0,48,
7/7/24,July,2024,Q3,11:00 AM,50,4,0,8,8,4,74,68,0,16,54,
7/14/24,July,2024,Q3,9:15 AM,48,0,0,0,0,0,48,48,13,0,48,
7/14/24,July,2024,Q3,11:00 AM,36,6,3,5,5,7,62,52,0,10,42,
7/21/24,July,2024,Q3,9:15 AM,54,0,0,0,0,0,54,54,9,0,54,Guest Speaker Bob Lay
7/21/24,July,2024,Q3,11:00 AM,45,4,3,8,7,6,73,65,0,15,49,Guest Speaker Bob Lay
7/28/24,July,2024,Q3,9:15 AM,54,0, ,0,0,0,54,54,3,0,54,
7/28/24,July,2024,Q3,11:00 AM,41,2,3,7,8,3,64,60,0,15,43,
8/4/24,August,2024,Q3,9:15 AM,48,,0,0,0,0,48,48,13,0,48,Guest Speaker John LaShell
8/4/24,August,2024,Q3,11:00 AM,35,5,3,9,10,3,65,59,0,19,40,Guest Speaker John LaShell
8/11/24,August,2024,Q3,9:15 AM,57,0,0,0,0,0,57,57,14,0,57,
8/11/24,August,2024,Q3,11:00 AM,50,6,3,12,11,7,89,79,0,23,56,
8/18/24,August,2024,Q3,9:15 AM,57,0,0,0,0,0,57,57,9,0,57,
8/18/24,August,2024,Q3,11:00 AM,32,4,5,10,8,6,65,57,0,18,36,Promotion Sunday-Kids move up a grade level
8/25/24,August,2024,Q3,9:15 AM,45,0,0,0,0,0,45,45,4,0,45,
8/25/24,August,2024,Q3,11:00 AM,40,6,2,11,11,6,76,66,0,22,46,
9/1/24,September,2024,Q3,9:15 AM,49,0,0,0,0,0,49,49,9,0,49,Labor Day Weekend
9/1/24,September,2024,Q3,11:00 AM,40,5,3,12,14,7,81,71,0,26,45,Labor Day Weekend
9/8/24,September,2024,Q3,9:15 AM,55,0,0,0,0,0,55,55,5,0,55,
9/8/24,September,2024,Q3,11:00 AM,23,4,4,4,12,,47,44,0,16,27,
9/15/24,September,2024,Q3,9:15 AM,38,0,0,0,0,0,38,38,6,0,38,
9/15/24,September,2024,Q3,11:00 AM,40,6,4,9,12,4,75,67,0,21,46,
9/22/24,September,2024,Q3,9:15 AM,39,0,0,0,0,0,39,39,8,0,39,
9/22/24,September,2024,Q3,11:00 AM,32,4,1,8,10,4,59,53,,18,36,
9/29/24,September,2024,Q3,9:15 AM,0,0,0,0,0,0,0,0,0,0,0,1st service CANCELED due to Hurricane Helene
9/29/24,September,2024,Q3,11:00 AM,65,0,0,0,0,0,65,65,0,0,65,attendence estimated
10/6/24,October,2024,Q4,9:15 AM,0,0,0,0,0,0,0,0,24,0,0,1st service CANCELED due to Hurricane Helene
10/6/24,October,2024,Q4,11:00 AM,75,0,0,0,0,0,75,75,0,0,75,
10/13/24,October,2024,Q4,9:15 AM,0,0,0,0,0,0,0,0,0,0,0,1st service CANCELED due to Hurricane Helene Recovery
10/13/24,October,2024,Q4,11:00 AM,89,0,0,0,0,0,89,89,11,0,89,
